timestamp,alert_type,region_id,detail,region_pixels,closest_mm,center_x,center_y
2026-05-21T16:21:09.156922,WARNING,WARNING_253_81_67,HOT region | TOO CLOSE | sensor range invalid,67,-1,253,81
2026-05-21T16:21:11.093009,WARNING,WARNING_208_106_87,DANGEROUS region | TOO CLOSE | sensor range invalid,87,-1,208,106
2026-05-21T16:21:11.093009,WARNING,WARNING_208_105_105,HOT region | TOO CLOSE | sensor range invalid,105,-1,208,105
2026-05-21T16:21:11.159628,WARNING,WARNING_197_100_92,"HOT region in valid range | closest=180mm | center=(197,100)",92,180,197,100
2026-05-21T16:21:11.425907,WARNING,WARNING_92_94_54,"HOT region in valid range | closest=931mm | center=(92,94)",54,931,92,94
2026-05-21T16:21:11.559230,WARNING,WARNING_45_93_118,HOT region BUT FAR | monitoring,118,-1,45,93
2026-05-21T16:21:11.654681,CRITICAL,CRITICAL_6_105_193,"DANGEROUS region in valid range | closest=624mm | center=(6,105)",193,624,6,105
2026-05-21T16:21:11.654681,WARNING,WARNING_14_102_288,"HOT region in valid range | closest=615mm | center=(14,102)",288,615,14,102
2026-05-21T16:21:11.921741,CRITICAL,CRITICAL_19_94_216,"DANGEROUS region in valid range | closest=511mm | center=(19,94)",216,511,19,94
2026-05-21T16:21:11.921741,WARNING,WARNING_15_98_140,"HOT region in valid range | closest=511mm | center=(15,98)",140,511,15,98
2026-05-21T16:21:11.989627,CRITICAL,CRITICAL_28_92_272,"DANGEROUS region in valid range | closest=526mm | center=(28,92)",272,526,28,92
2026-05-21T16:21:11.989627,WARNING,WARNING_22_95_190,"HOT region in valid range | closest=531mm | center=(22,95)",190,531,22,95
2026-05-21T16:21:12.057287,CRITICAL,CRITICAL_41_89_351,"DANGEROUS region in valid range | closest=543mm | center=(41,89)",351,543,41,89
2026-05-21T16:21:12.057287,WARNING,WARNING_36_90_162,"HOT region in valid range | closest=543mm | center=(36,90)",162,543,36,90
2026-05-21T16:21:12.057287,WARNING,WARNING_49_89_7,HOT region BUT FAR | monitoring,7,-1,49,89
2026-05-21T16:21:12.125265,CRITICAL,CRITICAL_52_83_267,"DANGEROUS region | MIXED RANGE | closest=-1mm | center=(52,83)",267,-1,52,83
2026-05-21T16:21:12.125265,WARNING,WARNING_48_81_212,"HOT region | MIXED RANGE | closest=-1mm | center=(48,81)",212,-1,48,81
2026-05-21T16:21:12.164406,WARNING,WARNING_58_85_78,DANGEROUS region BUT FAR | monitoring,78,-1,58,85
2026-05-21T16:21:12.164406,WARNING,WARNING_57_84_144,"HOT region in valid range | closest=882mm | center=(57,84)",144,882,57,84
2026-05-21T16:21:12.226227,WARNING,WARNING_54_89_16,DANGEROUS region BUT FAR | monitoring,16,-1,54,89
2026-05-21T16:21:12.226227,WARNING,WARNING_53_90_90,HOT region BUT FAR | monitoring,90,-1,53,90
2026-05-21T16:21:12.759793,WARNING,WARNING_47_104_9,HOT region BUT FAR | monitoring,9,-1,47,104
2026-05-21T16:21:12.827101,WARNING,WARNING_47_104_23,HOT region BUT FAR | monitoring,23,-1,47,104
2026-05-21T16:21:12.893221,WARNING,WARNING_47_103_16,HOT region BUT FAR | monitoring,16,-1,47,103
